,Mass_RetentionTime,Stool 75,Stool 103,Stool 41,Stool 99,Stool 85,Stool 31,Stool 62,Stool 43,Stool 104,Stool 70,Stool 56,Stool 73,Stool 105,Stool 58,Stool 9,Stool 88,Stool 50,Stool 25,Stool 91,Stool 74,Stool 39,Stool 24,Stool 28,Stool 106,Stool 60,Stool 6,Stool 93,Stool 32,Stool 94,Stool 19,Stool 81,Stool 64,Stool 59,Stool 53,Stool 27,Stool 78,Stool 55,Stool 107,Stool 48,Stool 108,Stool 109,Stool 2,Stool 4,Stool 98,Stool 8,Stool 5,Stool 51,Stool 68,Stool 76,Stool 71,Stool 84,Stool 44,Stool 33,Stool 12,Stool 10,Stool 1,Stool 34,Stool 29,Stool 16,Stool 17,Stool 37,Stool 47,Stool 110,Stool 26,Stool 95,Stool 38,Stool 80,Stool 36,Stool 111,Stool 112,Stool 92,Stool 30,Stool 22,Stool 79,Stool 63,Stool 3,Stool 113,Stool 45,Stool 114,Stool 65,Stool 115,Stool 86,Stool 116,Stool 117,Stool 96,Stool 118,Stool 46,Stool 90,Stool 67,Stool 119,Stool 89,Stool 18,Stool 57,Stool 14,Stool 13,Stool 66,Stool 54,Stool 61,Stool 72,Stool 49,Stool 69,Stool 40,Stool 120,Stool 77,Stool 100,Stool 7,Stool 42,Stool 121,Stool 102,Stool 35,Stool 83,Stool 87,Stool 122,Stool 15,Stool 52,Stool 82,Stool 21,Stool 11,Stool 97,Stool 123,Stool 124,Stool 101,Stool 23,Stool 20
Metabolite-1154,"D-Pinitol, pentakis(trimethylsilyl) ether 14.939511",1,1,1,1,1,1,1,1,21398,1,1,1,1,1,1,1,1,1,170189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17584,1,1,1,1,1,308696,1,1,1,23451,1,1,101659,1,1,1,1,180201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8529,1,1,1,1,1,1,1,138547,1,1,1,1,53278,1,1,1,1,1,1,1,1,105205,1,14119,1,1,1,1,1,45543,1,1,1,1,1,1,1,1,1,1,1,47211,1,1,1,1
Metabolite-1155,"D-Allofuranose, pentakis(trimethylsilyl) ether",1,1,3980066,241985,455217,1,1,1,215270,145541,144195,298058,1,593895,1,129449,140915,1,1,1,118004,361203,244733,1,456049,6160285,1,505551,106406,1249230,1,51454,1,1,516218,76021,838126,165797,144388,351989,10168,1625501,562985,256909,1,1,1,839846,153092,1,443968,596652,502546,383132,1,93333,1,836776,142072,111612,1,236677,1,1,1,1,1732460,216407,222465,584571,1,156375,196304,140173,849305,331975,77428,195145,13108,31764,42751,1,139922,1,204133,245086,204746,1,77930,37478,1,19930,138034,159237,1,480465,83680,246990,861508,1,84888,157823,1,124467,1268108,690812,1,1,63299,1,1,13169,1,1,165542,31121,1,1,1,1,1226981,827942,189964,3834
Metabolite-1156,"1,5-Anhydrohexitol, 4TMS derivative 15.059455",1,1,1,1,1,1,1,1,1,1,1,71056,1,1,1,29909,1,1,1,1,1,1,1,1,1,1,1,1,1,1403633,1,1,1,1,259739,1,1,1,1,210861,1,195440,807884,1,1,1,57293,1,1,1,1,1,603162,1,1,1,1,966728,53359,1,1,1,1,1,1,21857,1,251459,1,304131,1,1,1,1,1,1,1,88717,1,136268,1,1,1,1,76411,461650,1,1,1,1,1,16760,1,37522,1,1,1,146295,1,1,94193,1,1,88906,1,1,1,15687,1,1,1,1,1,1,1,1,1,1,1,1,1,158938,1,1
Metabolite-1157,217.0_15.140588,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26250,1,1,1,14149,1,1,1,1,1,1,24427,13967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37307,1,1,1,23040,1,1,1,1,1,1,1,1,46202,1,1,1,1,1,1,213504,1,1,1,1,1,1,1,145109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100353,1,1,1,1,1,85844,67194,1,1,1
Metabolite-1158,217.0_15.2677,1,1,1,1,40046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-1159,"D-Pinitol, pentakis(trimethylsilyl) ether",59928,1,216517,1,83941,1,1,1,1,1,1,31567,1,1,1,1,1,1,1,1,1,1,1,1,16551,1,1,1,1,45211,1,1,1,43853,113709,1,1,1,1,1,1,1,1,1,1,1,1,20456,491051,1,1,1,1,1,8115,1,1,467929,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,79052,1,1,1,1,1,1,1,1,1,1,1,48010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,167872,1,1,42022,1,1,1,1,1,1,1,1,1,1
Metabolite-1160,217.0_15.342156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58310,1,13412,18416,1,1,1,1,1,10929,1,1,1,1,1,1,1,1,1,1,1,38286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11867,1,1,1,1,1,1,1,1,1,1,94183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22643,1,1,1,1,1,1,1,1,1,1
Metabolite-1161,217.0_15.500492,1,57035,1,1,1,80716,1,1,1,1,1,63563,1,1,1,15481,1,1,1,1,16551,1,1,47114,1,1,1,1,1,44498,1,1,31285,24033,1,1,1,1,1,29323,29626,145322,1,21003,17477,1,1,1,1,1,1,1,1,1,99058,35349,37756,14744,1,797824,1,1,1,1,1,1,1,1,1,76848,1,1,311960,1,1,1,16445,1,16337,1,1,1,1,14971,1,1,1,1,1,34286,1,1,1,1,1,1,1,1,1,1,1,1,10761,1,1,1,1,1,1,1,38053,1,30054,1,1,1,96594,1,1,1,1,1,1,1
Metabolite-1162,217.0_15.6168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-1163,"D-(+)-Talofuranose, pentakis(trimethylsilyl) ether (isomer 2) 15.624594",252629,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,241798,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4880940,1,1,1,1,1,1,1,1,1,1,343138,1,31387,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,156753,1,1,1,1,1,1,1,1,1,1,22392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
